name,ricosCode,country,sector,limitType,maxAmount,usedAmount,currency
BNP PARIBAS,RICOS48213,FR,Banking,CREDIT,50000000,32000000,EUR
DEUTSCHE BANK AG,RICOS72905,DE,Banking,MARKET,20000000,18500000,EUR
GOLDMAN SACHS,RICOS36180,US,Banking,LIQUIDITY,15000000,4200000,USD
SOCIETE GENERALE,RICOS91427,FR,Banking,CREDIT,30000000,29500000,EUR
TOTALENERGIES SE,RICOS05364,FR,Energy,CREDIT,25000000,15000000,EUR
SHELL PLC,RICOS68792,UK,Energy,MARKET,18000000,17200000,GBP
AIRBUS SE,RICOS23951,FR,Industrials,CREDIT,12000000,5400000,EUR
MICROSOFT CORP,RICOS87046,US,Technology,LIQUIDITY,40000000,10000000,USD
APPLE INC,RICOS14638,US,Technology,CREDIT,35000000,24000000,USD
UNICREDIT SPA,RICOS59217,IT,Banking,MARKET,10000000,9500000,EUR
CREDIT SUISSE FINANCE,RICOS30874,CH,Banking,CREDIT,20000000,16000000,CHF
SANTANDER SA,RICOS41058,ES,Banking,CREDIT,28000000,19600000,EUR
LVMH,RICOS62719,FR,Retail,CREDIT,22000000,15400000,EUR
BAYER AG,RICOS37540,DE,Healthcare,MARKET,16000000,14720000,EUR
ENI SPA,RICOS80263,IT,Energy,LIQUIDITY,14000000,12600000,EUR
HSBC HOLDINGS,RICOS19487,UK,Banking,CREDIT,45000000,42750000,GBP
NESTLE SA,RICOS53916,CH,Consumer,CREDIT,19000000,7600000,CHF
RENAULT SA,RICOS26804,FR,Automotive,MARKET,11000000,10230000,EUR
JPMORGAN CHASE,RICOS94371,US,Banking,LIQUIDITY,60000000,55800000,USD
ORANGE SA,RICOS17652,FR,Telecom,CREDIT,9000000,3600000,EUR
